  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 94-145                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.100 (top)        0.100 (bottom)  
 Mach =   0.030     Re =     0.493 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.9517   0.04195   0.03254  -0.2474   0.1000   0.1000
  -4.500   0.9933   0.04302   0.03353  -0.2458   0.1000   0.1000
  -4.000   1.0341   0.04412   0.03458  -0.2442   0.1000   0.1000
  -3.500   1.0743   0.04526   0.03569  -0.2424   0.1000   0.1000
  -3.000   1.1137   0.04645   0.03684  -0.2406   0.1000   0.1000
  -2.500   1.1525   0.04769   0.03806  -0.2386   0.1000   0.1000
  -2.000   1.1902   0.04901   0.03938  -0.2366   0.1000   0.1000
  -1.500   1.2267   0.05042   0.04081  -0.2344   0.1000   0.1000
  -1.000   1.2626   0.05187   0.04228  -0.2321   0.1000   0.1000
  -0.500   1.2979   0.05336   0.04380  -0.2297   0.1000   0.1000
