  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0012 AIRFOILS                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.100 (top)        0.100 (bottom)  
 Mach =   0.030     Re =     0.493 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.3140   0.01835   0.00863  -0.1472   0.1000   0.1000
  -4.500   0.3676   0.01848   0.00871  -0.1468   0.1000   0.1000
  -4.000   0.4211   0.01862   0.00882  -0.1464   0.1000   0.1000
  -3.500   0.4745   0.01877   0.00895  -0.1459   0.1000   0.1000
  -3.000   0.5277   0.01893   0.00911  -0.1454   0.1000   0.1000
  -2.500   0.5808   0.01911   0.00929  -0.1448   0.1000   0.1000
  -2.000   0.6337   0.01930   0.00950  -0.1441   0.1000   0.1000
  -1.500   0.6865   0.01951   0.00973  -0.1434   0.1000   0.1000
  -1.000   0.7391   0.01973   0.01000  -0.1427   0.1000   0.1000
  -0.500   0.7916   0.01997   0.01029  -0.1419   0.1000   0.1000
   0.000   0.8437   0.02022   0.01061  -0.1410   0.1000   0.1000
   0.500   0.8956   0.02049   0.01097  -0.1400   0.1000   0.1000
   1.000   0.9472   0.02079   0.01137  -0.1390   0.1000   0.1000
   1.500   0.9984   0.02111   0.01181  -0.1379   0.1000   0.1000
   2.000   1.0492   0.02147   0.01230  -0.1367   0.1000   0.1000
   2.500   1.0997   0.02188   0.01288  -0.1354   0.1000   0.1000
   3.000   1.1491   0.02256   0.01354  -0.1339   0.0820   0.1000
   3.500   1.1971   0.02334   0.01429  -0.1322   0.0654   0.1000
   4.000   1.2430   0.02429   0.01524  -0.1302   0.0545   0.1000
   4.500   1.2875   0.02527   0.01628  -0.1280   0.0471   0.1000
   5.000   1.3290   0.02646   0.01752  -0.1253   0.0415   0.1000
   5.500   1.3705   0.02750   0.01868  -0.1226   0.0374   0.1000
   6.000   1.4073   0.02892   0.02024  -0.1191   0.0341   0.1000
   6.500   1.4392   0.03068   0.02204  -0.1151   0.0312   0.1000
   7.000   1.4731   0.03211   0.02370  -0.1113   0.0291   0.1000
   7.500   1.5000   0.03408   0.02575  -0.1067   0.0274   0.1000
   8.000   1.5261   0.03610   0.02801  -0.1020   0.0257   0.1000
   8.500   1.5492   0.03818   0.03025  -0.0971   0.0244   0.1000
   9.000   1.5637   0.04121   0.03341  -0.0914   0.0232   0.1000
   9.500   1.5795   0.04389   0.03640  -0.0860   0.0223   0.1000
  10.000   1.5905   0.04694   0.03971  -0.0804   0.0214   0.1000
  10.500   1.5983   0.05029   0.04323  -0.0750   0.0206   0.1000
  11.000   1.5968   0.05496   0.04808  -0.0694   0.0199   0.1000
  11.500   1.5922   0.05988   0.05339  -0.0644   0.0194   0.1000
  12.000   1.5826   0.06589   0.05976  -0.0604   0.0189   0.1000
  12.500   1.5693   0.07323   0.06744  -0.0585   0.0185   0.1000
  13.000   1.5527   0.08200   0.07653  -0.0590   0.0181   0.1000
  13.500   1.5343   0.09199   0.08682  -0.0617   0.0178   0.1000
  14.000   1.5143   0.10292   0.09802  -0.0662   0.0176   0.1000
  14.500   1.4921   0.11463   0.10999  -0.0723   0.0174   0.1000
  15.000   1.4648   0.12785   0.12348  -0.0804   0.0172   0.1000
  15.500   1.4285   0.14399   0.13995  -0.0920   0.0170   0.1000
  16.000   1.3721   0.16789   0.16432  -0.1118   0.0172   0.1000
